skill_name,avg_salary,n
dbt,182011.53846153847,26
Kafka,180689.6739130435,46
Django,178571.7213114754,61
Spark,173590.83333333334,30
Rails,171163.9175257732,97
Android,169741.66666666666,48
Airflow,168942.3076923077,26
Kotlin,166269.23076923078,39
Elasticsearch,164189.1891891892,37
Ruby,164049.4382022472,89
Java,161546.12068965516,58
Python,160211.81722689077,476
MySQL,159972.22222222222,36
iOS,159820.83333333334,48
GraphQL,155547.61904761905,84
FastAPI,155043.10344827586,58
PyTorch,154654.44444444444,45
Machine Learning,154108.23090277778,288
Terraform,152955.62130177516,169
Docker,152580.20833333334,144
TypeScript,151393.23063380283,568
AWS,151303.2960199005,402
Vue,151083.89830508476,59
GCP,150905.4347826087,138
JavaScript,150720.88859416445,377
PostgreSQL,149211.42307692306,390
React,148246.3879310345,580
CI/CD,147005.69620253163,79
MongoDB,145590.9090909091,44
Kubernetes,144843.00847457626,236
SQL,143702.95698924732,93
Rust,142811.18881118883,143
React Native,142639.34426229508,61
Go,142180.30821917808,292
LLM,141533.41968911918,193
Node.js,140972.92418772564,277
Next.js,140178.78787878787,165
C#,138529.41176470587,34
Azure,138521.75925925927,54
C++,136701.2987012987,77
PHP,135603.44827586206,29
Computer Vision,131930.37974683545,79
Tailwind,131863.63636363635,33
Redis,128242.85714285714,70
Snowflake,122310.86956521739,46
Linux,115105.97826086957,46
