skill_name,senior_share,n
TensorFlow,0.813953488372093,43
Elasticsearch,0.7590361445783133,83
Ruby,0.7317073170731707,287
MySQL,0.7111111111111111,135
Azure,0.708994708994709,189
NLP,0.7014925373134329,67
PHP,0.6941176470588235,85
MongoDB,0.6896551724137931,145
Rails,0.6802507836990596,319
Angular,0.68,50
React Native,0.6781115879828327,233
GraphQL,0.6781115879828327,233
GCP,0.6757990867579908,438
Django,0.6757990867579908,219
Kubernetes,0.672316384180791,708
Spark,0.6708860759493671,79
AWS,0.6694421315570358,1201
Spring,0.6666666666666666,48
Kafka,0.6666666666666666,120
Terraform,0.6642685851318945,417
SQL,0.6563573883161512,291
Node.js,0.651872399445215,721
PyTorch,0.6506024096385542,166
React,0.6400211752249868,1889
JavaScript,0.6389830508474577,1180
Java,0.6372881355932203,295
Vue,0.6307692307692307,195
Airflow,0.6290322580645161,62
CI/CD,0.6282051282051282,234
Go,0.6258637709772952,1013
Kotlin,0.625,144
Flutter,0.6229508196721312,61
TypeScript,0.6162729658792651,1905
Docker,0.6153846153846154,403
PostgreSQL,0.6094249201277955,1252
Redis,0.6068376068376068,234
Python,0.6026455026455027,1890
Deep Learning,0.6,70
Tailwind,0.5984848484848485,132
Scala,0.5892857142857143,56
C++,0.5828402366863905,338
Next.js,0.5818965517241379,464
FastAPI,0.5692307692307692,195
Android,0.5666666666666667,240
LLM,0.5662847790507365,611
Swift,0.5619047619047619,105
Machine Learning,0.5597592433361995,1163
Rust,0.5413290113452188,617
C#,0.5375,160
Computer Vision,0.5290697674418605,344
Linux,0.5115511551155115,303
Excel,0.5106382978723404,47
Snowflake,0.5048543689320388,103
iOS,0.5,254
Flask,0.5,46
dbt,0.4714285714285714,70
Svelte,0.36585365853658536,41
