feature,odds_ratio,ci_low,ci_high,p_value
skill::Ruby,2.0106698356538972,1.312798861482828,3.0795221618657322,0.0013216415332785113
skill::Azure,1.4960294825790466,1.053661332865298,2.1241210462374,0.0243081941642472
skill::Django,1.4660714488804665,1.0775786179475253,1.9946252249477514,0.01486609025813176
skill::GraphQL,1.4359403547644842,1.0617971715515522,1.9419195658886184,0.018808519648704926
skill::Android,1.416144757145623,0.9882042082824931,2.029404404861371,0.0580491337340702
remote,1.3811302102797776,1.2569667078512543,1.5175586161771224,1.837504721721551e-11
skill::AWS,1.3757167082021202,1.1763175758046944,1.608916248600461,6.536328532675509e-05
skill::Go,1.3489480648606078,1.1682947988751349,1.5575357208156677,4.4975546019739584e-05
skill::React Native,1.3193301727785376,0.9725424486432868,1.7897749421961555,0.07490739717966786
skill::C++,1.3162660611910995,1.0332272888828151,1.6768395129370526,0.026109706021621097
skill::MongoDB,1.3067976278542188,0.9011870625797751,1.8949673281780408,0.15817504706529784
skill::JavaScript,1.2858855619684235,1.0737924913505645,1.5398707774526839,0.006254639720216501
skill::Java,1.2858316365493832,0.9897326926388184,1.6705146852763653,0.05974392283853975
skill::MySQL,1.2789593737873228,0.8546737391485721,1.9138731013637857,0.23154514498334122
skill::GCP,1.2636875085239314,1.0061322140008222,1.5871732332765924,0.04416347754481316
skill::SQL,1.2586771474285476,0.9641221649301025,1.6432234618044725,0.09076970714953285
skill::Kubernetes,1.2555189919115954,1.0343470719863093,1.5239835658098844,0.021361538190585016
skill::React,1.204063941185852,1.0386510437952128,1.3958200717409117,0.013780896578674278
skill::PyTorch,1.181648375023889,0.827401924890985,1.6875630092117166,0.35863939842500225
skill::Kafka,1.156087725150173,0.7667923022340968,1.7430258811268886,0.4887012105778564
skill::Node.js,1.1111556085111336,0.9096486861887308,1.3573006865966966,0.3018829563155573
skill::Kotlin,1.0640648382275462,0.7259492013979439,1.5596600668089402,0.7502619544651099
skill::TypeScript,1.0616700805599597,0.9231023817296333,1.221038296796768,0.40167237445893467
skill::Python,1.0444154845522928,0.9165158068474838,1.1901635478875268,0.5143914735115445
skill::Terraform,1.0295111588842456,0.8006755603294611,1.3237486927052684,0.8206102767315433
skill::LLM,1.0119469984267178,0.847180870827938,1.2087580856542082,0.8957933080601508
skill::Tailwind,0.9867286951908498,0.6765588060409439,1.4390966597722694,0.9446806223220873
skill::Machine Learning,0.9535673548195105,0.8130005905893881,1.1184379331364127,0.5590025264745769
skill::Rails,0.9339233226649395,0.6309327845272128,1.3824178961806688,0.7326305078628784
skill::CI/CD,0.9273076931419841,0.6912555582679444,1.2439676578007264,0.6146078937403687
skill::PostgreSQL,0.91977480133585,0.7911996507392933,1.0692442601332257,0.27637428302600653
role_Data-ML,0.9115753233388939,0.5429300513150682,1.5305278610157247,0.72621166034116
skill::Redis,0.8776264699006842,0.6515980841391993,1.1820602905667759,0.3902700332389304
skill::Computer Vision,0.8732451171978798,0.6940181258959953,1.098756655275333,0.24750798868388169
skill::Rust,0.8727245000775117,0.7276906289994307,1.046664643851197,0.14207389047677893
skill::FastAPI,0.8633084379743362,0.629338378447328,1.1842618924916968,0.36210857662686624
role_SDE,0.86272009521999,0.5217303693749848,1.4265720502105672,0.5649848772048136
skill::Docker,0.8496962160334302,0.668659310475446,1.0797481590859292,0.1827518165780989
skill::C#,0.84690254347392,0.6086776404286819,1.1783641627404806,0.32411251773371774
skill::Vue,0.8023202768406084,0.5789241170869874,1.1119209022913572,0.185902813192524
skill::Linux,0.7700500103178393,0.5994103991159004,0.9892671519631876,0.040914945809273295
skill::Next.js,0.6901599910292164,0.5427355532405334,0.8776296492342541,0.002489557095484312
skill::iOS,0.5839970192813214,0.4166189671175784,0.8186197591748531,0.0017996818610429516
role_Other,0.45227656906530217,0.2722127122444861,0.7514494574440084,0.002190726534342755
